Wk,Max_P_day,Max_P_intra,Min_P_day,Min_P_intra,Avg_P_day,Avg_P_intra,Std_P_day,Std_P_intra
49,3.892168841532928,8.93966858633827,-8.147552308931406,0.2855339967723689,0.06899790174708811,1.365707511799669,1.358479628643452,1.3013039810862648
50,3.057628163556873,4.132472139926786,-2.756158446413869,0.2939889995398903,-0.23959672891822723,1.268750203701333,0.8816865251296406,0.8026655436293229
51,4.778947595472783,4.948761648804256,-3.129594524787352,0.21913685693870513,0.09275238117992012,1.2813217643976256,1.0696109350475622,0.9367947099822693
52,4.425498019493065,5.16410808948195,-2.0603509068826917,0.17006425179874046,0.047093959470081936,0.8933600151046046,0.79991762847352,0.7903332814263432
1,5.009860597069331,5.738181962359148,-2.8031939394959235,0.20121881108428197,0.15317851436424698,1.3520639760144182,1.2046301154777022,0.9017749173229266
2,2.2474363911771724,3.3884426353147457,-2.5799569871908394,0.2904530025241531,0.04606725983990086,1.162338096265872,0.8181811312605591,0.669811798716743
3,1.6262322136414067,4.228685224380626,-3.0215551380359926,0.3320349467572249,-0.1699996279876162,1.280588686765746,0.9461807623392435,0.8303666382027589
4,4.148638384278551,5.614882542580533,-5.228101687712124,0.3012062296893584,-0.015284860013716229,1.4641954139278148,1.1261898805976516,1.0946090549738192
5,3.3533216323962,3.863339586850613,-3.1114162359022557,0.33506399165335815,0.08786476848645226,1.3710322403692994,1.0634517658178668,0.7935129074140004
6,3.0732934465182944,4.746471016322127,-3.873728939085186,0.3325160713434193,-0.021321240928694744,1.3640760454288263,1.0449615485594994,0.8994034606279813
7,2.14346252442728,5.475157425154266,-4.580850899942392,0.2775104467033794,0.18724070487420078,1.0639254304938535,0.8213918807741248,0.686204894602714
8,3.1986894163176975,4.376558939374755,-3.596340500142185,0.28790567385673416,-0.0968770526316857,1.3582355340828085,1.0012982455898527,0.813609708816074
9,3.82038326199629,4.779285356643391,-3.8693802664282253,0.33523769986329055,-0.07568081021398215,1.47803002246075,1.1545908889277168,0.969183264729672
10,3.8984207952768246,5.378232907457148,-3.940677345748341,0.28025822719051224,-0.07370740356643511,1.4169391908807556,1.1480044034604384,1.0186238973725006
11,5.935688456908974,8.78521048810295,-5.709927883279171,0.2490965790915139,0.05005242460126345,1.6060719955212195,1.5586188168710289,1.4507352237003923
12,4.26811808118824,7.895510405144875,-5.222991627737389,0.3963169295322249,0.04937298109519513,1.6905412352727536,1.392594805495636,1.5132870250364336
53,0.8648251439696719,1.1508647554608125,-1.020770481911197,0.23948342466639957,-0.08446909666770723,0.645307450591028,0.5252284376937677,0.273980398720761
